benchmark	target	held_out_group	n_train	n_test	n_features	training_median	fold_metric
B0	task	grp-07	160	16	18		0.625
B0	task	grp-08	144	32	18		0.375
B0	task	grp-09	160	16	18		0.375
B0	task	grp-10	160	16	18		0.625
B0	task	grp-11	160	16	18		0.25
B0	task	grp-12	160	16	18		0.625
B0	task	grp-13	160	16	18		0.375
B0	task	grp-14	160	16	18		0.375
B0	task	grp-15	160	16	18		0.5
B0	task	grp-16	160	16	18		0.375
B1a	vad_valence	grp-07	128	15	18	7.0	0.34615384615384615
B1a	vad_valence	grp-08	127	16	18	7.0	0.6727272727272727
B1a	vad_valence	grp-09	131	12	18	7.0	0.65625
B1a	vad_valence	grp-10	127	16	18	7.0	0.6666666666666666
B1a	vad_valence	grp-11	130	13	18	7.0	0.525
B1a	vad_valence	grp-12	129	14	18	7.0	0.6222222222222222
B1a	vad_valence	grp-13	129	14	18	7.0	0.6122448979591837
B1a	vad_valence	grp-14	128	15	18	7.0	0.6590909090909092
B1a	vad_valence	grp-15	130	13	18	7.0	0.6333333333333333
B1a	vad_valence	grp-16	128	15	18	7.0	0.5555555555555556
B1b	vad_arousal	grp-07	128	15	18	6.835753176043557	0.7307692307692308
B1b	vad_arousal	grp-08	127	16	18	7.0	0.6071428571428571
B1b	vad_arousal	grp-09	131	12	18	7.0	0.8125
B1b	vad_arousal	grp-10	127	16	18	6.947368421052632	0.5897435897435899
B1b	vad_arousal	grp-11	130	13	18	7.0	0.7380952380952381
B1b	vad_arousal	grp-12	129	14	18	7.0	0.7575757575757576
B1b	vad_arousal	grp-13	129	14	18	7.0	0.48888888888888893
B1b	vad_arousal	grp-14	128	15	18	7.0	0.9074074074074074
B1b	vad_arousal	grp-15	130	13	18	7.0	0.3666666666666667
B1b	vad_arousal	grp-16	128	15	18	7.0	0.86
B2	vad_dominance	grp-07	96	12	17	5.955882352941177	0.5925925925925927
B2	vad_dominance	grp-08	96	12	18	6.0	0.6388888888888888
B2	vad_dominance	grp-09	100	8	18	6.0	1.0
B2	vad_dominance	grp-10	96	12	18	6.0	1.0
B2	vad_dominance	grp-11	99	9	18	6.0	0.5
B2	vad_dominance	grp-12	98	10	17	6.0	0.76
B2	vad_dominance	grp-13	97	11	17	6.0	0.5
B2	vad_dominance	grp-14	96	12	18	6.0	0.9428571428571428
B2	vad_dominance	grp-15	98	10	18	6.0	0.4
B2	vad_dominance	grp-16	96	12	18	6.0	0.22857142857142854
B3a	ans_mental_demand	grp-07	86	13	18	3.8461538461538463	0.8571428571428572
B3a	ans_mental_demand	grp-08	86	13	18	3.8461538461538463	0.9285714285714286
B3a	ans_mental_demand	grp-09	86	13	18	3.8461538461538463	0.6904761904761905
B3a	ans_mental_demand	grp-10	86	13	18	3.8461538461538463	0.7142857142857143
B3a	ans_mental_demand	grp-11	99	0	18	3.8461538461538463	
B3a	ans_mental_demand	grp-12	91	8	18	3.8461538461538463	0.6000000000000001
B3a	ans_mental_demand	grp-13	86	13	18	3.8461538461538463	0.7857142857142857
B3a	ans_mental_demand	grp-14	86	13	18	3.8461538461538463	0.9523809523809524
B3a	ans_mental_demand	grp-15	86	13	18	3.8461538461538463	0.880952380952381
B3a	ans_mental_demand	grp-16	99	0	18	3.8461538461538463	
B3b	ans_engagement	grp-07	86	13	18	5.428571428571429	0.7380952380952381
B3b	ans_engagement	grp-08	86	13	18	5.428571428571429	0.5952380952380952
B3b	ans_engagement	grp-09	86	13	18	5.428571428571429	0.47619047619047616
B3b	ans_engagement	grp-10	86	13	18	5.428571428571429	0.8095238095238094
B3b	ans_engagement	grp-11	99	0	18	5.428571428571429	
B3b	ans_engagement	grp-12	91	8	18	5.428571428571429	0.6875
B3b	ans_engagement	grp-13	86	13	18	5.428571428571429	0.5476190476190477
B3b	ans_engagement	grp-14	86	13	18	5.428571428571429	0.49999999999999994
B3b	ans_engagement	grp-15	86	13	18	5.428571428571429	0.6904761904761905
B3b	ans_engagement	grp-16	99	0	18	5.428571428571429	
B3c	ans_satisfaction	grp-07	52	8	16	5.4	0.6666666666666667
B3c	ans_satisfaction	grp-08	52	8	18	5.4	0.8
B3c	ans_satisfaction	grp-09	52	8	18	5.4	0.7333333333333334
B3c	ans_satisfaction	grp-10	52	8	18	5.4	0.8
B3c	ans_satisfaction	grp-11	60	0	18	5.4	
B3c	ans_satisfaction	grp-12	56	4	18	5.584615384615384	
B3c	ans_satisfaction	grp-13	52	8	17	5.4	0.4
B3c	ans_satisfaction	grp-14	52	8	18	5.4	0.8666666666666667
B3c	ans_satisfaction	grp-15	52	8	18	5.4	0.9333333333333333
B3c	ans_satisfaction	grp-16	60	0	18	5.4	
B3d	trust_mean	grp-07	52	8	17	5.226984126984127	0.8125
B3d	trust_mean	grp-08	52	8	18	5.226984126984127	0.25
B3d	trust_mean	grp-09	52	8	18	5.226984126984127	0.9375
B3d	trust_mean	grp-10	52	8	18	5.226984126984127	0.8125
B3d	trust_mean	grp-11	60	0	18	5.226984126984127	
B3d	trust_mean	grp-12	56	4	18	5.226984126984127	0.75
B3d	trust_mean	grp-13	52	8	18	5.226984126984127	0.375
B3d	trust_mean	grp-14	52	8	18	5.226984126984127	0.875
B3d	trust_mean	grp-15	52	8	18	5.226984126984127	1.0
B3d	trust_mean	grp-16	60	0	18	5.226984126984127	
