benchmark_id	target	n_rows	n_groups	feature_set	metric	baseline	linear_model	cv_protocol	baseline_note
B0_task_classification	Task label (T1--T4)	136	8	physio+pupil delta; audio absolute	accuracy	0.2647058823529412	0.4852941176470588	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B0_task_classification	Task label (T1--T4)	136	8	physio+pupil delta; audio absolute	macro_f1	0.10465116279069768	0.4742861885884872	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B1_affective_binary	Valence (high/low)	107	8	physio+pupil delta; audio absolute	accuracy	0.6355140186915887	0.5981308411214953	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B1_affective_binary	Valence (high/low)	107	8	physio+pupil delta; audio absolute	macro_f1	0.38857142857142857	0.5864269662921349	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B1_affective_binary	Valence (high/low)	107	8	physio+pupil delta; audio absolute	roc_auc		0.6455505279034691	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B1_affective_binary	Arousal (high/low)	107	8	physio+pupil delta; audio absolute	accuracy	0.4392523364485981	0.5887850467289719	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B1_affective_binary	Arousal (high/low)	107	8	physio+pupil delta; audio absolute	macro_f1	0.33125	0.5805416963649324	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B1_affective_binary	Arousal (high/low)	107	8	physio+pupil delta; audio absolute	roc_auc		0.5749472202674173	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B2_dominance_binary	Dominance (high/low)	83	8	physio+pupil delta; audio absolute	accuracy	0.5180722891566265	0.6506024096385542	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B2_dominance_binary	Dominance (high/low)	83	8	physio+pupil delta; audio absolute	macro_f1	0.3412698412698413	0.6506024096385542	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B2_dominance_binary	Dominance (high/low)	83	8	physio+pupil delta; audio absolute	roc_auc		0.6732558139534883	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B3_cognitive_state	Engagement >= median	99	8	physio+pupil delta; audio absolute	accuracy	0.5353535353535354	0.5656565656565656	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B3_cognitive_state	Engagement >= median	99	8	physio+pupil delta; audio absolute	macro_f1	0.34868421052631576	0.5628016842970114	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B3_cognitive_state	Engagement >= median	99	8	physio+pupil delta; audio absolute	roc_auc		0.5750615258408531	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B3_cognitive_state	Mental demand >= median	99	8	physio+pupil delta; audio absolute	accuracy	0.5454545454545454	0.6868686868686869	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B3_cognitive_state	Mental demand >= median	99	8	physio+pupil delta; audio absolute	macro_f1	0.35294117647058826	0.6857142857142857	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B3_cognitive_state	Mental demand >= median	99	8	physio+pupil delta; audio absolute	roc_auc		0.7526748971193417	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B4_personality_binary	BFI Extraversion (high/low)	32	8	participant-mean physio+pupil+audio (CHALLENGE: n=40)	accuracy	0.59375	0.5	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B4_personality_binary	BFI Extraversion (high/low)	32	8	participant-mean physio+pupil+audio (CHALLENGE: n=40)	macro_f1	0.37254901960784315	0.4817813765182186	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B4_personality_binary	BFI Extraversion (high/low)	32	8	participant-mean physio+pupil+audio (CHALLENGE: n=40)	roc_auc		0.4615384615384615	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B4_personality_binary	BFI Openness (high/low)	32	8	participant-mean physio+pupil+audio (CHALLENGE: n=40)	accuracy	0.59375	0.5625	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B4_personality_binary	BFI Openness (high/low)	32	8	participant-mean physio+pupil+audio (CHALLENGE: n=40)	macro_f1	0.37254901960784315	0.5333333333333333	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B4_personality_binary	BFI Openness (high/low)	32	8	participant-mean physio+pupil+audio (CHALLENGE: n=40)	roc_auc		0.46558704453441296	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B5_performance_binary	T4 Contribution (high/low)	28	7	physio+pupil delta; audio absolute; BFI traits	accuracy	0.5	0.5	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B5_performance_binary	T4 Contribution (high/low)	28	7	physio+pupil delta; audio absolute; BFI traits	macro_f1	0.3333333333333333	0.48958333333333337	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B5_performance_binary	T4 Contribution (high/low)	28	7	physio+pupil delta; audio absolute; BFI traits	roc_auc		0.37755102040816324	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B6_speaking_balance	Speaking-fraction Gini (group-task)	38	10	group cardiac+EDA physio means + BFI means + task indicators	rmse	0.10692501782111098	0.12016325502135969	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B6_speaking_balance	Speaking-fraction Gini (group-task)	38	10	group cardiac+EDA physio means + BFI means + task indicators	mae	0.0859643199528093	0.09229101077493988	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B6_speaking_balance	Speaking-fraction Gini (group-task)	38	10	group cardiac+EDA physio means + BFI means + task indicators	pearson_r		-0.019091560102324583	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B7_overlap_balance	Overlap fraction (group-task mean)	38	10	group pupil means + prosody + BFI means + task indicators	rmse	0.07932067058509953	0.0663303753192637	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B7_overlap_balance	Overlap fraction (group-task mean)	38	10	group pupil means + prosody + BFI means + task indicators	mae	0.060303285173718586	0.05157991700958062	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
B7_overlap_balance	Overlap fraction (group-task mean)	38	10	group pupil means + prosody + BFI means + task indicators	pearson_r		0.5596183200629145	leave-one-group-out (split=group_id); fold-local KNN imputation	majority class (classifier) or train-fold mean (regressor); linear models use KNN imputation fit on each training fold only
